system   D            wsystem.c:583  maybe_parent_dir                 [   0.00189] Also searching E:\Desktop\LUA_Test\LUA_SIClone\
display  D   display_settings.c:191  debug_display_settings           [   0.14254] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14255] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14257] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14258] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14260] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14261] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14266] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14268] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14271] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14273] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14274] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14276] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14277] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14279] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14280] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14282] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14283] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14285] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14286] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14287] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14289] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14290] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14292] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14293] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.14295] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14297] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.14299] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14300] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.14302] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.14303] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.14305] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14306] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14308] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14309] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14312] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14314] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14315] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14321] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14323] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14325] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14326] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14328] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14329] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14331] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14332] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14334] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14335] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14337] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14338] Single Buffer requirement not met.
